Iestādes nosaukums;Veids;Tips;Dibinātājs;Likvidēta;Akreditēta;Reģistrācijas numurs;Pakļautība;Atrašanās vieta
"Pieaugušo neformālās izglītības iestāde ""Radošuma attīstības centrs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""Radošuma attīstības centrs""";"Nē";"Nē";"3380802169";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Make-up skola POETICA""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""POETICA""";"Nē";"Nē";"3380802171";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde ""Latvijas Pareizticīgās baznīcas Rīgas garīgais seminārs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""Latvijas Pareizticīgā Baznīca""";"Nē";"Nē";"3380802060";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Language Bridge B2B""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA 1Z";"Nē";"Nē";"3380802135";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Mācību centrs ALTUM""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Biedrība ""Altum""";"Nē";"Nē";"3380802097";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Dienvidlatgales mācību centrs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Harmonija A""";"Nē";"Nē";"4280802107";"Juridiska vai fiziska persona";"PREIĻI"
"Pieaugušo neformālās izglītības centrs ""Azote""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"""RITINEITIS""";"Nē";"Nē";"4280802141";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Akciju sabiedrības ""Gaso"" Mācību centrs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Akciju sabiedrība ""Gaso""";"Nē";"Nē";"3380802092";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības centrs ""Inovācijas klase""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Inovācijas klase""";"Nē";"Nē";"2880802059";"Juridiska vai fiziska persona";"JELGAVA"
"Pieaugušo neformālās izglītības iestāde ""Mācību un konsultatīvais centrs ""Mensarius""""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Mensarius""";"Nē";"Nē";"3380802190";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Apmācību centrs Certes""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"SIA ""Certes.lv""";"Nē";"Nē";"3380802152";"Juridiska vai fiziska persona";"RĪGA"
"Pieaugušo neformālās izglītības iestāde ""EDU Solutions""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""EDU Solutions""";"Nē";"Nē";"3380802159";"Juridiska vai fiziska persona";"RĪGA"
"Pieaugušo neformālās izglītības iestāde Mācību centrs ""Nora""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Lira D.V""";"Nē";"Nē";"4580802160";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Neformālās izglītības iestāde GQ";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Porttraining""";"Nē";"Nē";"2980802070";"Juridiska vai fiziska persona";"JŪRMALA"
"Pieaugušo neformālās izglītības iestāde ""Latviešu valodas apguves programmas""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Nodibinājums ""Latviešu valodas ilgtspējas atbalsta partneri""";"Nē";"Nē";"3380802115";"Juridiska vai fiziska persona";"-Nav norādīts-"
"""1 1 1 A neformālās izglītības iestāde""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Sabiedrība ar ierobežotu atbildību ""Dialogs AB""";"Nē";"Nē";"3380802199";"Juridiska vai fiziska persona";"-Nav norādīts-"
"Pieaugušo neformālās izglītības iestāde ""Kalnkāpēju sporta centrs""";"Pieaugušo neformālās izglītības iestāde";"Pieaugušo neformālās izglītības iestāde";"Kalnkāpēju Sporta Centrs";"Nē";"Nē";"3380802204";"Juridiska vai fiziska persona";"-Nav norādīts-"
